Date,Open,High,Low,Close,Adj Close,Volume
2023-04-05,1293.5,1293.5,1260.0,1268.0,1248.18505859375,1864560
2023-04-06,1276.0,1289.0,1268.0,1289.0,1268.85693359375,1130722
2023-04-11,1304.0,1313.5,1294.5,1303.0,1282.63818359375,1919976
2023-04-12,1300.5,1308.0,1293.0,1302.5,1282.14599609375,1213346
2023-04-13,1305.5,1312.0,1289.0,1297.0,1276.73193359375,1326903
2023-04-14,1306.0,1310.5,1290.0,1292.5,1272.30224609375,1081210
2023-04-17,1302.0,1313.5,1297.0,1309.5,1289.03662109375,1330300
2023-04-18,1308.0,1311.0,1293.5,1296.5,1276.23974609375,1013174
2023-04-19,1305.0,1315.5,1288.5,1309.0,1288.54443359375,1194407
2023-04-20,1302.0,1302.0,1258.0,1281.0,1260.98193359375,2533676
2023-04-21,1283.0,1285.5,1266.0,1281.0,1260.98193359375,1329471
2023-04-24,1281.0,1286.114013671875,1270.5,1281.5,1261.47412109375,1077392
2023-04-25,1278.0,1279.5,1258.0,1259.0,1239.32568359375,1087730
2023-04-26,1260.0,1261.5,1237.0,1258.0,1238.34130859375,1295465
2023-04-27,1258.5,1267.0,1240.5,1242.0,1222.5914306640625,1189393
2023-04-28,1245.0,1265.5,1245.0,1265.0,1245.23193359375,4242934
2023-05-02,1266.0,1278.0,1261.0,1264.5,1244.73974609375,1666217
2023-05-03,1270.0,1275.5,1261.0,1264.5,1244.73974609375,1283370
2023-05-04,1243.5,1276.0,1240.5,1261.0,1241.29443359375,2393224
2023-05-05,1266.0,1284.5,1264.0,1282.0,1261.96630859375,1232593
2023-05-09,1294.5,1300.0,1278.5,1285.5,1265.41162109375,1972179
2023-05-10,1288.0,1288.5,1272.0,1285.5,1265.41162109375,1902232
2023-05-11,1284.0,1299.5,1283.0,1298.5,1278.20849609375,2455356
2023-05-12,1299.5,1301.0,1275.0,1281.0,1260.98193359375,1523954
2023-05-15,1291.0,1308.5,1283.5,1297.0,1276.73193359375,1121722
2023-05-16,1292.0,1327.5,1289.0,1301.5,1281.16162109375,1676604
2023-05-17,1298.5,1303.5,1264.5,1267.5,1247.69287109375,1228626
2023-05-18,1281.0,1292.0,1273.5,1277.0,1257.04443359375,867392
2023-05-19,1280.5,1292.0,1280.5,1285.5,1265.41162109375,1014454
2023-05-22,1290.0,1293.5,1282.5,1290.0,1269.84130859375,1214814
2023-05-23,1303.0,1316.0,1294.5,1308.0,1287.56005859375,1264368
2023-05-24,1298.5,1302.0,1285.0,1292.5,1272.30224609375,1369944
2023-05-25,1291.0,1293.0,1269.0,1269.0,1249.16943359375,929427
2023-05-26,1278.5,1288.5,1271.8299560546875,1282.5,1262.45849609375,907671
2023-05-30,1289.5,1295.5,1276.5,1276.5,1256.55224609375,968021
2023-05-31,1267.5,1272.0,1241.5,1245.0,1225.5445556640625,3873985
2023-06-01,1245.0,1261.0,1242.5,1252.0,1232.43505859375,1140418
2023-06-02,1262.5,1296.0,1260.0,1291.0,1270.82568359375,2307269
2023-06-05,1300.0,1303.0,1247.0,1259.5,1239.81787109375,2658376
2023-06-06,1257.0,1277.5,1252.5,1271.0,1251.13818359375,1920248
2023-06-07,1267.5,1268.0,1251.5,1257.5,1237.84912109375,1012382
2023-06-08,1258.5,1270.5,1256.5,1258.0,1238.34130859375,1220973
2023-06-09,1255.5,1256.0,1241.5,1243.0,1223.5758056640625,1162216
2023-06-12,1251.5,1251.5,1241.5,1244.5,1225.0523681640625,1220177
2023-06-13,1252.0,1257.0,1245.0,1245.0,1225.5445556640625,943418
2023-06-14,1257.5,1276.0,1247.0,1262.0,1242.27880859375,1985832
2023-06-15,1263.5,1272.0,1240.5,1270.0,1250.15380859375,2600549
2023-06-16,1267.0,1276.5,1258.0,1261.0,1241.29443359375,3439051
2023-06-19,1259.0,1261.5,1248.5,1248.5,1228.98974609375,804527
2023-06-20,1245.0,1252.0,1234.73095703125,1239.0,1219.6383056640625,1111891
2023-06-21,1232.5,1234.5,1195.0,1198.0,1179.2789306640625,1585809
2023-06-22,1190.0,1201.0,1179.0,1180.0,1161.560302734375,1798504
2023-06-23,1180.0,1193.0,1174.0,1185.0,1166.4820556640625,1055491
2023-06-26,1187.0,1195.5,1173.5860595703125,1192.5,1173.8648681640625,1965851
2023-06-27,1192.0,1200.5,1177.0,1192.5,1173.8648681640625,1137126
2023-06-28,1185.0,1209.0,1185.0,1199.5,1180.7554931640625,1429351
